Male word,Female word
cowboys,cowgirls
camerawomen,cameramen
cameraman,camerawoman
busboy,busgirl
busboys,busgirls
bellboy,bellgirl
bellboys,bellgirls
barman,barwoman
barmen,barwomen
tailor,seamstress
tailors,seamstress'
prince,princess
princes,princesses
governor,governess
governors,governesses
adultor,adultress
adultors,adultresses
god,godess
gods,godesses
host,hostess
hosts,hostesses
abbot,abbess
abbots,abbesses
actor,actress
actors,actresses
bachelor,spinster
bachelors,spinsters
baron,baroness
barons,barnoesses
beau,belle
beaus,belles
bridegroom,bride
bridegrooms,brides
brother,sister
brothers,sisters
duke,duchess
dukes,duchesses
emperor,empress
emperors,empresses
enchanter,enchantress
father,mother
fathers,mothers
fiance,fiancee
fiances,fiancees
priest,nun
priests,nuns
gentleman,lady
gentlemen,ladies
grandfather,grandmother
grandfathers,grandmothers
headmaster,headmistress
headmasters,headmistresses
hero,heroine
heros,heroines
lad,lass
lads,lasses
landlord,landlady
landlords,landladies
male,female
males,females
man,woman
men,women
manservant,maidservant
manservants,maidservants
marquis,marchioness
masseur,masseuse
masseurs,masseuses
master,mistress
masters,mistresses
monk,nun
monks,nuns
nephew,niece
nephews,nieces
sorcerer,sorceress
sorcerers,sorceresses
stepfather,stepmother
stepfathers,stepmothers
stepson,stepdaughter
stepsons,stepdaughters
steward,stewardess
stewards,stewardesses
uncle,aunt
uncles,aunts
waiter,waitress
waiters,waitresses
widower,widow
widowers,widows
wizard,witch
wizards,witches
actress,actor
actresses,actors
airman,airwoman
airmen,airwomen
airwoman,airman
airwomen,airmen
aunt,uncle
aunts,uncles
boy,girl
boys,girls
bride,groom
brides,grooms
businessman,businesswoman
businessmen,businesswomen
businesswoman,businessman
businesswomen,businessmen
chairman,chairwoman
chairmen,chairwomen
chairwoman,chairman
chairwomen,chairman
chick,dude
chicks,dudes
dad,mom
dads,moms
daddy,mommy
daddies,mommies
daughter,son
daughters,sons
dude,chick
dudes,chicks
female,male
females,males
gal,guy
gals,guys
mentleman,lady
girl,boy
girls,boys
granddaughter,grandson
granddaughters,grandsons
grandson,granddaughter
grandsons,granddaughters
groom,bride
grooms,brides
guy,girl
guys,girls
he,she
herself,himself
him,her
himself,herself
his,her
husband,wife
husbands,wives
king,queen
kings,queens
ladies,gentlemen
lady,gentleman
lord,lady
lords,ladies
ma'am,sir
miss,sir
mom,dad
moms,dads
mommy,daddy
mommies,daddies
mother,father
mothers,fathers
mr.,mrs.
mrs.,mr.
ms.,mr.
policeman,policewoman
policewoman,policeman
princess,prince
princesses,princes
queen,king
queens,kings
she,he
sir,ma'am
sister,brother
sisters,brothers
son,daughter
sons,daughters
spokesman,spokeswoman
spokesmen,spokeswomen
spokeswoman,spokesman
spokeswomen,spokesmen
wife,husband
wives,husbands
woman,man
women,men
countryman,countrywoman
fraternal,sororal
divo,diva
papa,mama
countrymen,countrywomen
brideprice,dowry
andropause,menopause
penis,clitoris
househusbands,housewives
andrology,obstetrics
stallion,mare
monastery,convent
boyhood,girlhood
fellas,ladies
semen,female_ejaculation
barbershop,hair_salon
masculism,feminism
fatherhood,motherhood
androgen,estrogen
cameramen,camerawomen
godfather,godmother
strongman,strongwoman
patriarch,matriarch
brotherhood,sisterhood
testosterone,estradiol
cialis,viagra
pa,ma
stud,minx
fathered,mothered
bull,cow
councilmen,councilwomen
horsemen,horsewomen
schoolboy,schoolgirl
rooster,hen
salesmen,saleswomen
boyfriend,girlfriend
councilman,councilwoman
fella,lady
statesman,stateswoman
paternal,maternal
chap,lass
brethren,sistren
blokes,wenches
fraternity,sorority
ballet_dancer,ballerina
colts,fillies
suitor,suitress
paternity,maternity
deer,doe
boyfriends,girlfriends
studs,minxes
cowboy,cowgirl
baritone,mezzo
salesman,saleswoman
paramour,mistress
male_host,hostess
menservants,maids
congressman,congresswoman
househusband,housewife
handyman,handywoman
beard,toque
fraternities,sororities
colt,filly
czar,czarina
lions,lionesses
bulls,cows
bloke,wench
beards,toques
hubby,wife
lion,lioness
macho,effeminate
gays,lesbians
sperm,ovum
prostate,skene_gland
prostatic_utricle,womb
heir,heiress
grandpa,grandma
gay,lesbian
gents,ladies
gelding,mare
roosters,hens
stailor,seamstress'
